name	gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags	vOTU	confidence
vOTU976-cat_1_9-K02406	vOTU976-cat_1_9	vOTU976-cat_1	K02406	flagellin	MISC	Flagella Structure		Flagellar Assembly	2	M	vOTU976	high confidence
vOTU94-cat_1_87-K01624	vOTU94-cat_1_87	vOTU94-cat_1	K01624	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	carbon utilization	central carbon	glycolysis	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	2	MK	vOTU94	-
vOTU94-cat_1_49-K09883	vOTU94-cat_1_49	vOTU94-cat_1	K09883	cobT; cobaltochelatase CobT [EC:6.6.1.2]	MISC	aerobic corrin ring synthesis		"Cobalamin biosynthesis, precorrin2 => cobinamide"	1	MK	vOTU94	high confidence
vOTU94-cat_1_47-K09883	vOTU94-cat_1_47	vOTU94-cat_1	K09883	cobT; cobaltochelatase CobT [EC:6.6.1.2]	MISC	aerobic corrin ring synthesis		"Cobalamin biosynthesis, precorrin2 => cobinamide"	1	MK	vOTU94	high confidence
vOTU94-cat_1_179-K00134	vOTU94-cat_1_179	vOTU94-cat_1	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	carbon utilization	central carbon	glycolysis	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	2	MKF	vOTU94	high confidence
vOTU94-cat_1_177-K00368	vOTU94-cat_1_177	vOTU94-cat_1	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	Energy	Nitrogen		"Denitrification, nitrate => nitrogen"	2	MK	vOTU94	high confidence
vOTU94-cat_1_17-K00033	vOTU94-cat_1_17	vOTU94-cat_1	K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	1	MKE	vOTU94	high confidence
vOTU94-cat_1_16-K00036	vOTU94-cat_1_16	vOTU94-cat_1	K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	1	MKE	vOTU94	high confidence
vOTU937-cat_1_7-GH13	vOTU937-cat_1_7	vOTU937-cat_1	GH13	"GH13 alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); malto-oligosyltrehalose synthase (EC 5.4.99.15); amylo-alpha-1,6-glucosidase (EC 3.2.1.33); alpha-1,4-glucan: phosphate alpha-maltosyltransferase (EC 2.4.99.16); 6'-P-sucrose phosphorylase (EC 2.4.1.-); amino acid transporter"	carbon utilization	CAZY	Starch Backbone Cleavage	Glycoside Hydrolases	1	M	vOTU937	high confidence
vOTU936-cat_1_32-GH31	vOTU936-cat_1_32	vOTU936-cat_1	GH31	"GH31 alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22); alpha-mannosidase (EC 3.2.1.24); alpha-1,3-glucosidase (EC 3.2.1.84); sucrase-isomaltase (EC 3.2.1.48) (EC 3.2.1.10); alpha-xylosidase (EC 3.2.1.177); alpha-glucan lyase (EC 4.2.2.13); isomaltosyltransferase (EC 2.4.1.-); oligosaccharide alpha-1,4-glucosyltransferase (EC 2.4.1.161); sulfoquinovosidase (EC 3.2.1.-)"	carbon utilization	CAZY	"Xyloglucan Oligo Cleavage (Hemicellulose), Xylan Oligo Cleavage (Hemicellulose), Alpha-galactans Oligo Cleavage, Alpha-galactans Oligo Cleavage, Mucin Oligo Cleavage"	Glycoside Hydrolases	2	M	vOTU936	-
vOTU931-cat_1_8-GH74	vOTU931-cat_1_8	vOTU931-cat_1	GH74	GH74 endoglucanase (EC 3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150); xyloglucanase (EC 3.2.1.151)	carbon utilization	CAZY	Xyloglucan Backbone Cleavage (Hemicellulose)	Glycoside Hydrolases	1	M	vOTU931	high confidence
