vOTU	VC	 prediction_PhaGCN	Host_Genus	lifeway	checkv_quality	miuvig_quality	completeness	vs_max_score	vs_max_score_group	hallmark	dvf_score	dvf_pvalue	Length	sample	project	country
vOTU0	VC_1444_1	Peduoviridae	Candidatus Nitrosocaldus	temperate	High-quality	High-quality	96.72	NA	NA	NA	0.913769662	0.016730871	1529652	"SRR5823597,SRR5823598,SRR5823603,SRR5823596,SRR5823595,SRR5823611,SRR5823606,SRR5823608,SRR5823612"	PRJNA393632	Germany
vOTU1	VC_1444_2	Peduoviridae	Aeromonas	temperate	High-quality	High-quality	100	NA	NA	NA	0.907577336	0.017184077	1518786	"SRR9313736,SRR10159350"	"PRJNA531524,PRJNA562057"	China
vOTU2	VC_1444_10	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.933144629	0.01525795	973637	SRR5877197	PRJNA392834	China
vOTU3	VC_1444_9	Peduoviridae	Unclassified	temperate	Medium-quality	Genome-fragment	87.24	NA	NA	NA	0.955266714	0.013010801	945281	"SRR5823595,SRR5823596,SRR5823612,SRR5823603,SRR5823597,SRR5823602,SRR5823601,SRR5823606,SRR5823600,SRR5823610,SRR5823598,SRR5823608,SRR5823611,SRR5823609,SRR5823613,SRR5823599"	PRJNA393632	Germany
vOTU4	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.94357717	0.014351537	743118	"SRR5877196,SRR14026606"	"PRJNA392834,PRJNA714492"	"China,Switzerland"
vOTU5	Unclassified	Peduoviridae	Unclassified	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.955033958	0.013010801	676971	"SRR17754576,SRR14026574,SRR14026577,SRR14026607"	"PRJNA799794,PRJNA714492"	"China,Switzerland"
vOTU6	Unclassified	Peduoviridae	Aeromonas	temperate	Complete	High-quality	100	NA	NA	NA	0.946819961	0.014068283	668378	"SRR17754576,SRR17754575"	PRJNA799794	China
vOTU7	VC_1444_7	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.900564909	0.017656167	657336	SRR17754576	PRJNA799794	China
vOTU8	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.902011812	0.017580633	629737	"SRR14026606,SRR14026577,SRR14026607,SRR14026575,SRR14026576,SRR14026574,SRR14026609"	PRJNA714492	Switzerland
vOTU9	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.934044123	0.01525795	600229	"SRR5823610,SRR5823608,SRR5823609,SRR5823611,SRR5823613,SRR5823612"	PRJNA393632	Germany
vOTU10	VC_1444_8	Peduoviridae	Zobellia	temperate	High-quality	High-quality	100	NA	NA	NA	0.930034041	0.015541204	596315	"SRR5823595,SRR5823602,SRR5823596,SRR5823598"	PRJNA393632	Germany
vOTU11	VC_1468_0	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.938913703	0.014899162	548942	"SRR5823595,SRR5823602,SRR5823596,SRR5823600,SRR5823598,SRR5823597,SRR5823601,SRR5823612,SRR5823608,SRR5823609,SRR5823611,SRR5823599"	PRJNA393632	Germany
vOTU12	Unclassified	Peduoviridae	Paenibacillus	virulent	High-quality	High-quality	100	NA	NA	NA	0.962454915	0.012028854	544261	"SRR5823600,SRR5823596,SRR5823602"	PRJNA393632	Germany
vOTU13	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.901659846	0.017580633	541493	SRR17754576	PRJNA799794	China
vOTU14	VC_1444_4	Peduoviridae	Unclassified	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.964727104	0.011632299	504930	SRR17754576	PRJNA799794	China
vOTU15	Unclassified	Peduoviridae	Unclassified	virulent	High-quality	High-quality	100	NA	NA	NA	0.9671399	0.011405695	460026	SRR5823600	PRJNA393632	Germany
vOTU16	VC_1471_3	Peduoviridae	Clostridium	virulent	Medium-quality	Genome-fragment	82.91	NA	NA	NA	0.92927742	0.015616738	453962	SRR17754576	PRJNA799794	China
vOTU17	Unclassified	Peduoviridae	Nostoc	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.935707927	0.015087998	443520	"SRR5823600,SRR5823595,SRR5823603"	PRJNA393632	Germany
vOTU18	VC_1475_2	Peduoviridae	Nonomuraea	temperate	High-quality	High-quality	100	NA	NA	NA	0.995195508	0.006004985	442525	SRR9313736	PRJNA531524	China
vOTU19	VC_1444_5	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.957242012	0.012784198	441582	"SRR14026574,SRR14026575,SRR14026576,SRR14026606,SRR14026607,SRR14026577"	PRJNA714492	Switzerland
vOTU20	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.907629371	0.017184077	420667	SRR17754575	PRJNA799794	China
vOTU21	VC_1444_0	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.922976911	0.016051061	418038	"SRR14026606,SRR14026576,SRR14026574,SRR14026577,SRR14026607"	PRJNA714492	Switzerland
vOTU22	VC_1444_3	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.947012782	0.014068283	401863	"SRR17754576,SRR14026574"	"PRJNA799794,PRJNA714492"	"China,Switzerland"
vOTU23	VC_1450_0	Peduoviridae	Unclassified	virulent	High-quality	High-quality	100	NA	NA	NA	0.931322813	0.01546567	393020	"SRR14026606,SRR14026607,SRR14026574,SRR14026575,SRR14026576,SRR14026577,SRR14026609,SRR14026608"	PRJNA714492	Switzerland
vOTU24	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.934526086	0.015182416	392110	"SRR14026609,SRR14026608,SRR14026597,SRR14026586,SRR14026579,SRR14026578,SRR14026599,SRR14026581"	PRJNA714492	Switzerland
vOTU25	Unclassified	Redondoviridae_like	Unclassified	temperate	High-quality	High-quality	99.68	0.993	dsDNAphage	17	0.999223769	0.003247979	385900	"SRR5823602,SRR5823595,SRR5823597,SRR5823610,SRR5823601,SRR5823600,SRR5823598,SRR5823596,SRR5823603"	PRJNA393632	Germany
vOTU26	VC_586_1	Kyanoviridae	Unclassified	temperate	Complete	High-quality	100	1	dsDNAphage	20	0.965061784	0.011613415	384751	SRR5823600	PRJNA393632	Germany
vOTU27	Unclassified	Kyanoviridae	Unclassified	virulent	High-quality	High-quality	95.31	1	dsDNAphage	18	0.999997675	0.000490974	375268	"SRR5823601,SRR5823598,SRR5823597,SRR5823602,SRR5823603,SRR5823600,SRR5823595,SRR5823596,SRR5823606,SRR5823612,SRR5823610,SRR5823613,SRR5823609,SRR5823599,SRR5823608,SRR5823611"	PRJNA393632	Germany
